URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow
1476544,81.59392789373814,2635.0,2150.0,2141.0
1476547,84.78260869565217,2208.0,1872.0,1853.0
1476553,74.44532488114105,2524.0,1879.0,1856.0
1476578,74.93765586034912,2406.0,1803.0,1778.0
1476579,79.78511738957421,2513.0,2005.0,1994.0
1476591,77.05595193390913,2663.0,2052.0,2042.0
1476592,79.68111201962388,2446.0,1949.0,1922.0
1476594,79.33884297520662,2420.0,1920.0,1903.0
1476596,83.22756119673618,2206.0,1836.0,1809.0
1476597,78.02155504234027,2598.0,2027.0,2010.0
1476602,72.30514096185739,2412.0,1744.0,1725.0
1476618,74.75538160469667,2555.0,1910.0,1887.0
1476625,87.2166817769719,2206.0,1924.0,1911.0
1476633,28.33333333333333,60.0,17.0,17.0
1476643,93.61702127659576,47.0,44.0,43.0
1476644,100.0,49.0,49.0,49.0
1476650,27.631578947368425,76.0,21.0,20.0
1476659,25.37313432835821,134.0,34.0,31.0
1476668,95.0,20.0,19.0,18.0
1476669,32.69230769230769,52.0,17.0,16.0
1476708,100.0,8.0,8.0,7.0
1476738,100.0,65.0,65.0,64.0
1476757,16.0,75.0,12.0,12.0
1476800,79.37792927141031,2347.0,1863.0,1850.0
1476843,70.87802940007946,2517.0,1784.0,1770.0
1476846,67.73662551440329,2430.0,1646.0,1637.0
1476854,26.31578947368421,76.0,20.0,20.0
1476863,30.612244897959183,49.0,15.0,12.0
1476877,100.0,23.0,23.0,23.0
1476884,26.76056338028169,71.0,19.0,19.0
1476885,36.36363636363637,22.0,8.0,7.0
1477087,68.09917355371901,2420.0,1648.0,1639.0
1477093,72.32732072151342,2273.0,1644.0,1636.0
1477275,80.6437389770723,2268.0,1829.0,1809.0
1477361,83.48993288590604,2235.0,1866.0,1841.0
1477370,100.0,23.0,23.0,23.0
1477549,40.74074074074074,27.0,11.0,11.0
1477611,100.0,30.0,30.0,29.0
1477612,29.166666666666668,48.0,14.0,14.0
1477648,34.61538461538461,26.0,9.0,9.0
1477661,78.02636835797043,2503.0,1953.0,1935.0
1477663,76.04251839738349,2446.0,1860.0,1851.0
1477676,100.0,20.0,20.0,19.0
1477677,100.0,25.0,25.0,25.0
1477679,27.058823529411764,85.0,23.0,23.0
1477759,23.52941176470588,34.0,8.0,8.0
1478036,71.14810072556551,2343.0,1667.0,1655.0
1478061,26.923076923076923,26.0,7.0,6.0
1478143,21.875,128.0,28.0,28.0
1478270,27.27272727272727,55.0,15.0,13.0
1478412,20.930232558139537,129.0,27.0,25.0
1478413,19.19191919191919,99.0,19.0,19.0
1478526,71.34092900964066,2282.0,1628.0,1611.0
1478625,32.69230769230769,52.0,17.0,17.0
1478941,84.54291695743196,2866.0,2423.0,2401.0
1478942,76.0143198090692,2514.0,1911.0,1898.0
1478952,85.36691272253583,2303.0,1966.0,1944.0
1478980,84.81497235219055,2351.0,1994.0,1973.0
1478983,86.10108303249098,2216.0,1908.0,1893.0
1478984,84.44154715341156,2301.0,1943.0,1928.0
1478985,83.98817068018589,2367.0,1988.0,1965.0
1478992,84.98253783469151,2577.0,2190.0,2166.0
1478995,77.87456445993031,2296.0,1788.0,1760.0
1479005,82.83783783783784,2220.0,1839.0,1828.0
1479007,89.85568760611206,2356.0,2117.0,2102.0
1479021,85.01519756838906,3290.0,2797.0,2767.0
1479040,85.39823008849558,2260.0,1930.0,1906.0
1479067,84.87051340299864,2201.0,1868.0,1851.0
1479079,84.24479166666666,2304.0,1941.0,1916.0
1479086,84.1624828845276,2191.0,1844.0,1820.0
1479108,85.99404001702852,2349.0,2020.0,1990.0
1479147,86.79727427597955,2348.0,2038.0,2021.0
1479186,88.02035152636448,2162.0,1903.0,1876.0
1479188,85.35291717666259,2451.0,2092.0,2062.0
1479193,82.82312925170068,2352.0,1948.0,1925.0
1479195,86.70886075949366,2370.0,2055.0,2031.0
1479203,87.63736263736264,2548.0,2233.0,2206.0
1479205,84.18013856812932,2598.0,2187.0,2163.0
1479206,82.22402597402598,2464.0,2026.0,2013.0
1479245,82.61633011413521,2278.0,1882.0,1851.0
1479328,100.0,7.0,7.0,7.0
1479337,16.49484536082474,97.0,16.0,16.0
1479491,18.84057971014493,69.0,13.0,13.0
1479933,39.39393939393939,33.0,13.0,13.0
1480033,78.74747474747474,2475.0,1949.0,1930.0
1480051,20.253164556962027,79.0,16.0,16.0
1480053,82.66550522648085,2296.0,1898.0,1886.0
1480057,82.23711772098868,2387.0,1963.0,1936.0
1480076,79.82062780269058,2676.0,2136.0,2117.0
1480080,76.83634020618557,3104.0,2385.0,2358.0
1480081,75.6701030927835,2425.0,1835.0,1822.0
1480096,100.0,19.0,19.0,19.0
1480353,23.01255230125523,239.0,55.0,55.0
1480363,82.26378587552402,3101.0,2551.0,2522.0
1480387,25.0,100.0,25.0,25.0
1480439,79.30648769574944,2682.0,2127.0,2097.0
1480440,79.20569501686025,2669.0,2114.0,2094.0
1480450,30.952380952380956,42.0,13.0,13.0
1480682,30.23255813953488,43.0,13.0,13.0
1480705,83.46846846846847,2220.0,1853.0,1833.0
1480727,82.44073748902547,2278.0,1878.0,1855.0
1480772,91.66666666666666,24.0,22.0,21.0
1480856,95.34883720930232,43.0,41.0,41.0
1480864,100.0,18.0,18.0,17.0
1480865,96.0,25.0,24.0,22.0
1480871,89.90338164251209,2070.0,1861.0,1841.0
1480872,84.84959647835657,2726.0,2313.0,2293.0
1480875,89.03985507246377,2208.0,1966.0,1942.0
1480878,80.80517613227893,2782.0,2248.0,2216.0
1480881,82.19895287958116,2292.0,1884.0,1865.0
1480908,88.88888888888889,2178.0,1936.0,1923.0
1480909,90.43879907621248,2165.0,1958.0,1944.0
1481058,71.89829022358614,2281.0,1640.0,1624.0
1481169,24.615384615384617,65.0,16.0,15.0
1481170,82.56997455470739,2358.0,1947.0,1932.0
1481180,70.61918251719952,2471.0,1745.0,1729.0
1481181,78.79785920131741,2429.0,1914.0,1895.0
1481183,80.78602620087337,2519.0,2035.0,2023.0
1481191,82.52170630426576,2649.0,2186.0,2151.0
1481203,84.73581213307241,2555.0,2165.0,2149.0
1481205,86.01012425218592,2173.0,1869.0,1849.0
1481251,85.35120147874306,2164.0,1847.0,1826.0
1481398,25.0,72.0,18.0,17.0
1481429,70.63917525773195,2425.0,1713.0,1699.0
1481494,100.0,10.0,10.0,10.0
1481620,73.63358111062527,2287.0,1684.0,1669.0
1481706,19.047619047619047,63.0,12.0,12.0
1481758,100.0,34.0,34.0,34.0
1481906,35.714285714285715,28.0,10.0,10.0
1481910,85.59633027522936,2180.0,1866.0,1846.0
1481922,84.96674057649668,2255.0,1916.0,1900.0
