URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych,Sklearn_AE_Reconstruction_Error
1469639,80.1610852055956,2359.0,1891.0,1864.0,298.0,1.0,24.0,0.36924519062926103
1469641,87.99328295549958,2382.0,2096.0,2061.0,324.0,0.0,35.0,1.1926086189350766
1469643,87.07158351409979,2305.0,2007.0,1975.0,119.0,0.0,32.0,1.3033125755224404
1469645,88.34379905808477,2548.0,2251.0,2221.0,159.0,0.0,30.0,0.9454000530471315
1469655,82.15859030837004,1816.0,1492.0,1470.0,157.0,0.0,22.0,0.45885094651779734
1469657,96.62576687116564,652.0,630.0,603.0,135.0,0.0,27.0,1.7740943489262586
1469659,78.51851851851852,540.0,424.0,409.0,195.0,0.0,15.0,0.5277434347725635
1469663,81.69014084507043,71.0,58.0,58.0,196.0,0.0,0.0,0.35140950759660755
1469667,72.48908296943232,229.0,166.0,166.0,451.0,0.0,0.0,0.6208358913994765
1469672,51.63934426229508,122.0,63.0,56.0,96.0,0.0,7.0,0.36631674342859327
1469673,36.66666666666666,60.0,22.0,19.0,50.0,0.0,3.0,0.5755549469002802
1469674,79.47598253275109,229.0,182.0,182.0,382.0,0.0,0.0,0.6634113914393353
1469676,28.23061630218688,503.0,142.0,140.0,189.0,0.0,2.0,0.539723366716136
1469681,100.0,77.0,77.0,77.0,27.0,0.0,0.0,0.49522405748150644
1469748,96.42857142857144,28.0,27.0,27.0,1.0,0.0,0.0,0.3592683009762757
1469761,85.68627450980392,2040.0,1748.0,1739.0,16.0,0.0,9.0,0.6934728263369346
1469767,82.74509803921568,255.0,211.0,209.0,240.0,0.0,2.0,0.347728393801504
1469772,59.92673992673993,1365.0,818.0,802.0,534.0,0.0,16.0,0.3290771040945411
1469803,33.55263157894737,152.0,51.0,51.0,149.0,0.0,0.0,0.34184210275817906
1469843,29.72972972972973,74.0,22.0,22.0,68.0,0.0,0.0,0.6317657084020372
1469906,80.27179006560449,2134.0,1713.0,1704.0,311.0,0.0,9.0,0.29608885236605903
1469907,81.52327221438645,2127.0,1734.0,1725.0,272.0,0.0,9.0,0.33700690748166906
1469945,68.53801169590643,855.0,586.0,571.0,255.0,0.0,15.0,0.3997860894160537
1469989,35.714285714285715,28.0,10.0,9.0,39.0,0.0,1.0,0.5308563148502153
1470075,23.893805309734518,113.0,27.0,27.0,71.0,0.0,0.0,0.855113534210071
1470144,35.8974358974359,39.0,14.0,12.0,64.0,0.0,2.0,0.5133437851364071
1470217,85.49382716049382,648.0,554.0,552.0,270.0,0.0,2.0,0.3263200342501481
1470462,19.565217391304348,46.0,9.0,8.0,48.0,0.0,1.0,1.1599702573308108
1470524,78.90710382513662,915.0,722.0,716.0,683.0,0.0,6.0,0.9594817229256813
1470525,23.91304347826087,46.0,11.0,11.0,82.0,0.0,0.0,0.8065855175170997
1470645,38.63636363636363,44.0,17.0,17.0,36.0,0.0,0.0,0.41593487256828493
1470731,100.0,18.0,18.0,16.0,58.0,0.0,2.0,0.5709102131883521
1470869,21.176470588235293,85.0,18.0,13.0,88.0,0.0,5.0,1.2337131542646742
1470997,25.742574257425744,101.0,26.0,25.0,95.0,0.0,1.0,0.7506539877805328
1471009,21.311475409836063,61.0,13.0,13.0,121.0,0.0,0.0,0.7968384812838654
1471071,32.55813953488372,43.0,14.0,9.0,76.0,0.0,5.0,0.7877002550985972
1471231,32.83582089552239,67.0,22.0,22.0,89.0,0.0,0.0,0.475076020501026
1471260,80.87508821453775,2834.0,2292.0,2276.0,293.0,0.0,16.0,0.5674977227646095
1471293,75.86062132661628,2382.0,1807.0,1798.0,362.0,0.0,8.0,0.46738138360388504
1471428,32.947976878612714,173.0,57.0,57.0,139.0,0.0,0.0,0.3816662186754534
1471435,81.52173913043478,276.0,225.0,222.0,290.0,0.0,3.0,0.40417815436942595
1471437,96.72131147540983,61.0,59.0,58.0,36.0,0.0,1.0,0.40175598745017815
1471438,6.896551724137931,29.0,2.0,2.0,36.0,0.0,0.0,1.8484645167905955
1471439,33.33333333333333,78.0,26.0,26.0,65.0,0.0,0.0,0.5184750197825857
1471440,93.82716049382717,81.0,76.0,73.0,601.0,0.0,3.0,2.3997815576849377
1471492,59.74842767295597,318.0,190.0,186.0,606.0,0.0,4.0,0.5762215774514996
1471561,78.73907040957202,2173.0,1711.0,1680.0,261.0,0.0,25.0,0.5770261633945061
1471604,70.74380165289256,1210.0,856.0,838.0,337.0,0.0,18.0,0.4236737317336964
1471611,86.28595248020008,2399.0,2070.0,2051.0,128.0,0.0,19.0,0.5012903999593125
1471615,94.44444444444444,18.0,17.0,17.0,32.0,0.0,0.0,0.37445710945615873
1471617,20.28985507246377,69.0,14.0,14.0,129.0,0.0,0.0,0.8150772592670538
1471619,35.294117647058826,119.0,42.0,41.0,110.0,0.0,1.0,0.400219606151461
1471621,98.31460674157304,178.0,175.0,168.0,2388.0,0.0,7.0,23.218705559708987
1471664,71.93911317008603,1511.0,1087.0,1068.0,470.0,0.0,19.0,0.33411057340439554
1471690,80.37974683544303,1106.0,889.0,878.0,586.0,0.0,11.0,0.5177274314484608
1471720,37.57961783439491,157.0,59.0,57.0,61.0,0.0,2.0,0.48600366427700326
1471745,48.19277108433735,83.0,40.0,36.0,39.0,0.0,4.0,0.33041314341822364
1471776,66.7312661498708,1548.0,1033.0,1031.0,548.0,0.0,2.0,0.33292806573960954
1471786,80.91922005571031,718.0,581.0,564.0,150.0,0.0,17.0,0.5341363423048323
1471818,28.35820895522388,67.0,19.0,18.0,51.0,0.0,1.0,0.7702879588267877
1471825,69.82352941176471,1700.0,1187.0,1183.0,568.0,0.0,4.0,0.3075283040987551
1471826,69.1716950082282,1823.0,1261.0,1256.0,623.0,0.0,5.0,0.30795960910246584
1471834,69.11764705882352,2108.0,1457.0,1449.0,778.0,0.0,8.0,0.35188965899802344
1471860,54.83870967741935,93.0,51.0,36.0,42.0,0.0,15.0,1.2248784310465415
1471916,34.78260869565217,69.0,24.0,23.0,47.0,0.0,1.0,0.5497215630264567
1472104,32.20338983050847,177.0,57.0,56.0,132.0,0.0,1.0,0.45060068523704117
1472130,97.95918367346938,49.0,48.0,48.0,42.0,0.0,0.0,0.4831846323947655
1472148,81.90725016329196,1531.0,1254.0,1251.0,277.0,0.0,3.0,0.36018811625025565
1472193,35.65217391304348,115.0,41.0,38.0,78.0,0.0,3.0,0.5495693600334074
1472484,28.205128205128204,78.0,22.0,21.0,98.0,0.0,1.0,0.6473944284867355
1472522,83.50785340314137,2674.0,2233.0,2210.0,300.0,1.0,22.0,0.31908160465431
1472549,78.34839769926047,2434.0,1907.0,1881.0,428.0,0.0,27.0,0.4540591105835806
1472552,73.17073170731707,2173.0,1590.0,1566.0,519.0,0.0,24.0,0.3465890817033584
1472572,82.2943722943723,2310.0,1901.0,1877.0,299.0,0.0,24.0,0.34945178484490086
1472588,96.96969696969695,33.0,32.0,32.0,3.0,0.0,0.0,0.37565318854512714
1472700,84.39716312056737,141.0,119.0,117.0,269.0,0.0,2.0,0.5315449946053573
1472861,0.0,34.0,0.0,0.0,30.0,0.0,0.0,2.355495058382559
1472939,80.2707136997539,2438.0,1957.0,1927.0,482.0,0.0,29.0,0.5243516329753765
1472961,14.285714285714285,35.0,5.0,5.0,34.0,0.0,0.0,1.4309936850052252
1472968,77.04636519748139,1747.0,1346.0,1324.0,92.0,0.0,22.0,0.7378880543059712
1473006,86.48648648648648,333.0,288.0,284.0,291.0,0.0,4.0,0.49801715351908227
1473007,100.0,135.0,135.0,134.0,47.0,0.0,1.0,0.47955981649178486
1473009,100.0,92.0,92.0,92.0,70.0,0.0,0.0,0.594511892800757
1473011,98.30508474576273,118.0,116.0,112.0,79.0,0.0,4.0,0.47715295952390235
1473025,24.04371584699453,183.0,44.0,41.0,126.0,0.0,3.0,0.8486757825429309
1473180,37.5,24.0,9.0,9.0,35.0,0.0,0.0,0.44743231074385664
1473208,72.80118255728011,1353.0,985.0,985.0,350.0,0.0,0.0,0.3903224954285552
1473214,75.29761904761905,1344.0,1012.0,994.0,313.0,0.0,18.0,0.2975070540344579
1473217,39.6039603960396,101.0,40.0,38.0,54.0,0.0,2.0,0.43204685976780766
1473218,33.81294964028777,139.0,47.0,46.0,72.0,0.0,1.0,0.5341007728843676
1473408,41.80790960451977,177.0,74.0,71.0,123.0,0.0,3.0,0.2984474802595651
1473423,32.608695652173914,46.0,15.0,15.0,50.0,0.0,0.0,0.5728311623737322
1473506,66.45126548196015,1857.0,1234.0,1232.0,650.0,0.0,2.0,0.5136854827641689
1473565,34.090909090909086,44.0,15.0,14.0,34.0,0.0,1.0,0.6008513992208245
1473616,62.78195488721805,1596.0,1002.0,1000.0,644.0,0.0,2.0,0.36912527434269105
1473681,87.59590792838875,782.0,685.0,665.0,202.0,4.0,16.0,0.4210445286997523
1473713,80.97421203438395,1745.0,1413.0,1385.0,456.0,0.0,28.0,0.8972891757464689
1473723,74.73614775725594,1516.0,1133.0,1132.0,367.0,0.0,1.0,0.42451655860575455
1473728,74.35603892386949,1747.0,1299.0,1295.0,413.0,0.0,4.0,0.30523783946587485
1473744,78.06394316163411,2252.0,1758.0,1733.0,400.0,0.0,25.0,0.38133450462113255
1473757,79.46145723336853,1894.0,1505.0,1498.0,371.0,0.0,6.0,0.3048825867540042
1473808,82.16650898770104,2114.0,1737.0,1713.0,307.0,0.0,24.0,0.3537534038407183
1473840,8.823529411764707,34.0,3.0,3.0,36.0,0.0,0.0,1.7318922145925755
1473841,34.0,100.0,34.0,34.0,99.0,0.0,0.0,0.4240483891449558
1473845,52.36907730673317,401.0,210.0,203.0,97.0,0.0,7.0,0.32081451339465555
1473850,36.58536585365854,164.0,60.0,59.0,117.0,0.0,1.0,0.35807688044285646
1473854,42.10526315789473,152.0,64.0,61.0,104.0,0.0,3.0,0.3213010690095173
1473858,79.32432432432432,740.0,587.0,569.0,453.0,0.0,18.0,0.9410837202998245
1473885,73.81228273464659,1726.0,1274.0,1270.0,562.0,0.0,3.0,0.4707714629457053
1473891,30.726256983240223,179.0,55.0,55.0,118.0,0.0,0.0,0.4943618841356258
1473909,39.285714285714285,84.0,33.0,33.0,67.0,0.0,0.0,0.3421266423381533
1473973,42.1875,64.0,27.0,27.0,48.0,0.0,0.0,0.30101941525964043
1474019,70.46332046332047,518.0,365.0,351.0,149.0,0.0,14.0,0.4926166004941072
1474083,14.634146341463412,82.0,12.0,12.0,118.0,0.0,0.0,1.098797609212466
1474111,66.35514018691589,1819.0,1207.0,1202.0,614.0,0.0,4.0,0.3080045374083051
1474151,64.09302325581395,1075.0,689.0,670.0,361.0,0.0,19.0,0.7029776117042364
1474230,65.63231850117096,1708.0,1121.0,1120.0,609.0,0.0,1.0,0.4917602086544566
1474297,32.86713286713287,143.0,47.0,47.0,97.0,0.0,0.0,0.47083030076466986
1474298,90.2654867256637,113.0,102.0,101.0,179.0,0.0,1.0,0.5164574084133257
1474349,19.672131147540984,61.0,12.0,12.0,73.0,0.0,0.0,1.019494381561586
1474395,80.54830287206266,766.0,617.0,598.0,148.0,0.0,19.0,0.7035467908189788
1474482,57.410714285714285,1120.0,643.0,629.0,525.0,0.0,14.0,0.33045334318103853
1474500,12.195121951219512,82.0,10.0,10.0,60.0,0.0,0.0,1.4428910831729982
1474539,100.0,52.0,52.0,52.0,24.0,0.0,0.0,0.5024478933667698
1474540,100.0,44.0,44.0,42.0,21.0,0.0,2.0,0.45814380043788056
1474566,41.726618705035975,139.0,58.0,57.0,70.0,0.0,1.0,0.3132017562919569
1474569,19.51219512195122,41.0,8.0,7.0,42.0,0.0,1.0,1.1835107074299078
1474641,17.94871794871795,78.0,14.0,14.0,69.0,0.0,0.0,1.1164673888857162
1474661,77.49263777871266,2377.0,1842.0,1831.0,325.0,0.0,11.0,0.33442804895071926
1474712,72.54725472547254,2222.0,1612.0,1588.0,398.0,0.0,24.0,0.44692374683463326
1474749,78.6783042394015,2406.0,1893.0,1882.0,432.0,1.0,10.0,0.3133607021897427
1474808,78.34474175482265,1607.0,1259.0,1232.0,405.0,0.0,27.0,0.9533012312654031
1474811,77.67790262172285,1335.0,1037.0,1018.0,331.0,0.0,19.0,0.3486575464713887
1474845,100.0,27.0,27.0,26.0,34.0,0.0,1.0,0.5180837319631152
1474850,34.285714285714285,35.0,12.0,11.0,31.0,0.0,1.0,0.6000142570197059
1474859,76.3840830449827,1156.0,883.0,865.0,261.0,0.0,18.0,0.38740492630290824
1474900,27.3972602739726,73.0,20.0,19.0,111.0,0.0,1.0,0.6413339403613216
1474909,20.33898305084746,59.0,12.0,11.0,63.0,0.0,1.0,1.0728853569000343
1475019,75.6,250.0,189.0,178.0,48.0,0.0,11.0,0.3558299302674565
1475030,22.448979591836736,98.0,22.0,22.0,198.0,0.0,0.0,0.5526876027170149
1475040,97.2972972972973,37.0,36.0,30.0,3.0,0.0,6.0,0.3829617685508601
1475057,70.81339712918661,1463.0,1036.0,1017.0,412.0,0.0,19.0,0.36241299730574106
1475096,78.47953216374269,855.0,671.0,656.0,282.0,0.0,15.0,0.3439514296476863
1475103,34.375,96.0,33.0,29.0,98.0,0.0,4.0,0.6029086645001065
1475104,100.0,42.0,42.0,40.0,8.0,0.0,2.0,0.4294684823661449
1475173,34.93975903614458,83.0,29.0,26.0,104.0,0.0,3.0,0.5111046107871495
1475180,24.210526315789476,95.0,23.0,23.0,88.0,0.0,0.0,0.7862315450969574
1475246,31.30434782608696,115.0,36.0,36.0,91.0,0.0,0.0,0.5280663800545757
1475308,68.23238566131026,809.0,552.0,537.0,278.0,0.0,15.0,0.42833263403904337
1475353,26.08695652173913,92.0,24.0,21.0,108.0,0.0,3.0,0.8098833651703669
1475354,24.615384615384617,65.0,16.0,16.0,57.0,0.0,0.0,0.8585576416771235
1475355,77.80032467532467,2464.0,1917.0,1890.0,494.0,0.0,26.0,0.3153900905122037
1475382,42.73504273504273,117.0,50.0,46.0,75.0,0.0,4.0,0.4053050070255021
1475383,41.17647058823529,68.0,28.0,26.0,73.0,0.0,2.0,0.3476147602696109
1475407,15.151515151515152,33.0,5.0,5.0,16.0,0.0,0.0,1.4599021932199363
