URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych
1413015,76.0705289672544,794.0,604.0,599.0,148.0,2.0,3.0
1413020,68.25275980205558,2627.0,1793.0,1786.0,706.0,0.0,8.0
1413026,57.79049295774647,2272.0,1313.0,1301.0,832.0,0.0,10.0
1413029,59.67596759675967,2222.0,1326.0,1314.0,741.0,0.0,11.0
1413037,76.5463917525773,2716.0,2079.0,2071.0,633.0,1.0,5.0
1413050,71.28236002408188,1661.0,1184.0,1178.0,403.0,3.0,4.0
1413052,72.890625,2560.0,1866.0,1856.0,505.0,8.0,2.0
1413054,73.01943198804184,2676.0,1954.0,1942.0,590.0,1.0,10.0
1413065,72.24445252819207,2749.0,1986.0,1978.0,656.0,0.0,8.0
1413069,80.56537102473497,3113.0,2508.0,2497.0,652.0,0.0,9.0
1413070,78.9041095890411,2920.0,2304.0,2296.0,447.0,0.0,8.0
1413071,76.97814619442352,2654.0,2043.0,2034.0,620.0,0.0,8.0
1413080,69.2613185067514,2518.0,1744.0,1736.0,821.0,0.0,7.0
1413085,52.51762336354482,1986.0,1043.0,1040.0,816.0,0.0,3.0
1413088,53.98428731762065,1782.0,962.0,954.0,639.0,3.0,4.0
1413100,79.92277992277992,1036.0,828.0,823.0,276.0,2.0,3.0
1413106,75.2853207398662,2541.0,1913.0,1910.0,559.0,0.0,3.0
1413118,72.34200743494424,2690.0,1946.0,1939.0,656.0,1.0,4.0
1413129,68.01501251042535,2398.0,1631.0,1617.0,547.0,0.0,14.0
1413136,55.442670537010166,1378.0,764.0,764.0,418.0,0.0,0.0
1413145,68.57031857031856,2574.0,1765.0,1755.0,723.0,0.0,10.0
1413149,79.69018932874354,1162.0,926.0,924.0,570.0,0.0,2.0
1413152,80.36028119507908,2276.0,1829.0,1820.0,347.0,3.0,6.0
1434622,66.66666666666666,39.0,26.0,26.0,17.0,0.0,0.0
1434624,53.333333333333336,45.0,24.0,24.0,25.0,0.0,0.0
1434626,93.0,100.0,93.0,93.0,251.0,0.0,0.0
1434643,38.4928716904277,491.0,189.0,179.0,408.0,1.0,9.0
1434644,13.970588235294118,136.0,19.0,18.0,111.0,0.0,1.0
1434646,72.3076923076923,325.0,235.0,234.0,501.0,0.0,1.0
1434648,61.23499142367067,583.0,357.0,346.0,453.0,0.0,12.0
1434650,93.33333333333331,75.0,70.0,70.0,2389.0,0.0,0.0
1434651,95.1086956521739,184.0,175.0,175.0,3604.0,0.0,0.0
1434652,98.14814814814817,108.0,106.0,106.0,759.0,0.0,0.0
1413187,70.4855842185129,1318.0,929.0,923.0,385.0,3.0,3.0
1434655,100.0,9.0,9.0,9.0,3.0,0.0,0.0
1434656,74.0484429065744,578.0,428.0,416.0,278.0,0.0,12.0
1413204,80.32094594594594,1184.0,951.0,951.0,225.0,0.0,0.0
1413207,62.25946617008069,1611.0,1003.0,1000.0,559.0,2.0,2.0
1434662,10.666666666666668,75.0,8.0,8.0,71.0,0.0,0.0
1434664,100.0,413.0,413.0,403.0,209.0,0.0,10.0
1413318,67.866927592955,2555.0,1734.0,1725.0,770.0,0.0,9.0
1413321,65.0343990287333,2471.0,1607.0,1600.0,828.0,0.0,6.0
1434668,9.803921568627452,51.0,5.0,4.0,51.0,0.0,1.0
