URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych,AE_Reconstruction_Error
1434256,100.0,231.0,231.0,231.0,235.0,0.0,0.0,0.8431945034138059
1434259,18.75,48.0,9.0,9.0,48.0,0.0,0.0,0.669608931481045
1406206,48.10911345319281,1613.0,776.0,775.0,801.0,0.0,1.0,0.4960100604992735
1406207,64.99718626899268,1777.0,1155.0,1144.0,571.0,0.0,10.0,0.4873102352427523
1406232,51.57740278796772,1363.0,703.0,693.0,618.0,0.0,10.0,0.7642076405358224
1406247,63.69426751592356,1099.0,700.0,693.0,197.0,1.0,9.0,0.9607925049052842
1406266,76.07537894305612,2441.0,1857.0,1854.0,230.0,2.0,1.0,0.8890992130814279
1406275,84.11712511091393,2254.0,1896.0,1891.0,160.0,0.0,6.0,0.4690640317524105
1406277,56.79012345679012,1377.0,782.0,773.0,522.0,0.0,9.0,0.5325150339011765
1406294,84.34389140271493,2210.0,1864.0,1855.0,197.0,0.0,8.0,0.4536760172390123
1406299,66.42857142857143,1680.0,1116.0,1116.0,364.0,0.0,0.0,0.49116487578908885
1406315,75.35496957403652,1972.0,1486.0,1478.0,105.0,0.0,7.0,0.5810833119032195
1406325,81.5478615071283,2455.0,2002.0,1995.0,103.0,0.0,6.0,0.8204248450915765
1406332,73.42105263157895,1520.0,1116.0,1105.0,220.0,1.0,10.0,0.9194462178330512
1406334,76.31113730111963,1697.0,1295.0,1295.0,254.0,0.0,0.0,0.5354992580167018
1406336,72.16981132075472,1060.0,765.0,756.0,168.0,0.0,9.0,0.8727610560197506
1406350,77.31576780568135,2429.0,1878.0,1875.0,239.0,0.0,3.0,0.7196278200318827
1406352,80.61373599610326,2053.0,1655.0,1653.0,165.0,0.0,2.0,0.5791571368079026
1406372,80.87451119800924,2813.0,2275.0,2269.0,269.0,0.0,6.0,0.7623479788472001
1406383,64.20361247947454,1827.0,1173.0,1163.0,506.0,0.0,12.0,1.0191903799077309
1406403,80.3016453382084,2188.0,1757.0,1753.0,48.0,0.0,3.0,0.8362019144975684
1406404,80.1388147357181,1873.0,1501.0,1501.0,144.0,0.0,0.0,0.7711202394564961
1406405,75.73632538569424,2139.0,1620.0,1607.0,422.0,0.0,11.0,0.6009908734264819
1406406,81.66522864538395,2318.0,1893.0,1888.0,63.0,0.0,5.0,0.8044652292295089
1406417,68.68836291913215,2028.0,1393.0,1383.0,316.0,1.0,9.0,0.5099631603606415
1406445,74.71509971509973,1404.0,1049.0,1040.0,216.0,1.0,10.0,0.9582172948793255
1406447,81.5203955500618,1618.0,1319.0,1307.0,236.0,4.0,8.0,0.45493314108409166
1406448,78.02111849824013,2557.0,1995.0,1987.0,142.0,0.0,8.0,0.9106811011084133
1406487,73.9188586714222,2243.0,1658.0,1654.0,342.0,0.0,2.0,0.5535556421669912
1406495,78.97595034910783,1289.0,1018.0,1009.0,111.0,0.0,9.0,0.7896898932346273
1406501,73.13915857605178,1545.0,1130.0,1120.0,287.0,0.0,9.0,0.5345824140558775
1406508,78.1868384721583,2173.0,1699.0,1690.0,198.0,0.0,9.0,0.638284945037307
1406515,77.70762506070909,2059.0,1600.0,1592.0,145.0,0.0,8.0,0.5956954985085964
1406526,82.18415417558886,2335.0,1919.0,1915.0,112.0,0.0,4.0,0.7482712845841492
1406531,82.12669683257919,2210.0,1815.0,1811.0,98.0,0.0,6.0,0.5992973327418719
1406533,84.07196138657305,2279.0,1916.0,1904.0,189.0,0.0,12.0,1.199493788540042
1406534,79.49912638322655,1717.0,1365.0,1355.0,267.0,0.0,10.0,0.6626271475237651
1406540,79.55773955773957,2035.0,1619.0,1611.0,145.0,0.0,8.0,0.5573776716185196
1406542,81.23934053439454,1759.0,1429.0,1421.0,57.0,0.0,8.0,0.6465954330606257
1434263,94.50381679389312,655.0,619.0,593.0,140.0,0.0,26.0,12.707994223027105
1434265,64.376130198915,553.0,356.0,346.0,259.0,0.0,10.0,1.4877326358347254
1434268,76.94753577106518,629.0,484.0,475.0,310.0,0.0,9.0,1.1489549838560664
1434273,65.76576576576578,222.0,146.0,146.0,464.0,0.0,0.0,0.5159520242951567
1434275,56.52173913043478,92.0,52.0,46.0,49.0,0.0,6.0,0.7430497730214205
1434278,52.066115702479344,121.0,63.0,58.0,89.0,0.0,5.0,0.4864513060341432
